Tabelle: 42111-0006
Beschäftigte und Umsatz der Betriebe im Verarbeitenden;;;;;;;;;;
Gewerbe: Deutschland, Monate, Wirtschaftszweige;;;;;;;;;;
(WZ2008 2-4-Steller Hierarchie);;;;;;;;;;
Monatsbericht im Verarbeitenden Gewerbe;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;
Betriebe;;;;;;;;;;;;;;;;;;;
;;Betriebe;;Beschäftigte;;Geleistete Arbeitsstunden;;Bruttolohn- und -gehaltssumme;;Umsatz;;Inlandsumsatz;;Auslandsumsatz;;Auslandsumsatz mit der Eurozone;;Auslandsumsatz mit dem sonstigen Ausland;
;;Anzahl;Anzahl;Anzahl;Anzahl;1000;1000;Tsd. EUR;Tsd. EUR;Tsd. EUR;Tsd. EUR;Tsd. EUR;Tsd. EUR;Tsd. EUR;Tsd. EUR;Tsd. EUR;Tsd. EUR;Tsd. EUR;Tsd. EUR
WZ08-21;Herstellung von pharmazeutischen Erzeugnissen;225;e;104355;e;13455;e;563501;e;2962561;e;1121530;e;1841031;e;997870;e;843161;e
WZ08-212;  H.v. pharmazeut. Spezialitäten u. sonst. Erzeugn.;204;e;98733;e;12752;e;520443;e;2899803;e;1102534;e;1797269;e;981960;e;815309;e
Mai;;;;;;;;;;;;;;;;;;;
WZ08-21;Herstellung von pharmazeutischen Erzeugnissen;225;e;104310;e;13094;e;460929;e;3024827;e;1138641;e;1886186;e;941408;e;944778;e
WZ08-212;  H.v. pharmazeut. Spezialitäten u. sonst. Erzeugn.;204;e;98738;e;12401;e;436891;e;2959787;e;1119013;e;1840774;e;920404;e;920370;e
Juni;;;;;;;;;;;;;;;;;;;
WZ08-21;Herstellung von pharmazeutischen Erzeugnissen;225;e;104506;e;13589;e;461773;e;3101457;e;1149351;e;1952106;e;987627;e;964479;e
WZ08-212;  H.v. pharmazeut. Spezialitäten u. sonst. Erzeugn.;204;e;98940;e;12896;e;437613;e;3027930;e;1132297;e;1895633;e;971355;e;924278;e
Juli;;;;;;;;;;;;;;;;;;;
WZ08-21;Herstellung von pharmazeutischen Erzeugnissen;224;e;104526;e;14217;e;401998;e;3138632;e;1206989;e;1931642;e;1017560;e;914082;e
WZ08-212;  H.v. pharmazeut. Spezialitäten u. sonst. Erzeugn.;203;e;98934;e;13512;e;376960;e;3067542;e;1186808;e;1880733;e;1003615;e;877118;e
August;;;;;;;;;;;;;;;;;;;
WZ08-21;Herstellung von pharmazeutischen Erzeugnissen;223;e;104888;e;12990;e;389023;e;2880182;e;1125210;e;1754972;e;862339;e;892633;e
WZ08-212;  H.v. pharmazeut. Spezialitäten u. sonst. Erzeugn.;202;e;99274;e;12308;e;365703;e;2828554;e;1108114;e;1720439;e;848608;e;871831;e
September;;;;;;;;;;;;;;;;;;;
WZ08-21;Herstellung von pharmazeutischen Erzeugnissen;222;e;105474;e;14277;e;408701;e;3159892;e;1230659;e;1929233;e;956845;e;972388;e
WZ08-212;  H.v. pharmazeut. Spezialitäten u. sonst. Erzeugn.;201;e;99854;e;13545;e;385762;e;3095585;e;1211416;e;1884169;e;940259;e;943910;e
Oktober;;;;;;;;;;;;;;;;;;;
WZ08-21;Herstellung von pharmazeutischen Erzeugnissen;222;e;105327;e;14567;e;399872;e;3198050;e;1189632;e;2008417;e;1079775;e;928643;e
WZ08-212;  H.v. pharmazeut. Spezialitäten u. sonst. Erzeugn.;201;e;99719;e;13836;e;377215;e;3127421;e;1167932;e;1959489;e;1061892;e;897597;e
November;;;;;;;;;;;;;;;;;;;
WZ08-21;Herstellung von pharmazeutischen Erzeugnissen;222;e;105186;e;14272;e;658137;e;3486671;e;1224761;e;2261910;e;1095318;e;1166592;e
WZ08-212;  H.v. pharmazeut. Spezialitäten u. sonst. Erzeugn.;201;e;99590;e;13533;e;621585;e;3412045;e;1204662;e;2207383;e;1079934;e;1127449;e
Dezember;;;;;;;;;;;;;;;;;;;
WZ08-21;Herstellung von pharmazeutischen Erzeugnissen;222;e;104824;e;12700;e;432483;e;3058825;e;1215737;e;1843088;e;978954;e;864133;e
WZ08-212;  H.v. pharmazeut. Spezialitäten u. sonst. Erzeugn.;201;e;99234;e;12086;e;407889;e;2987823;e;1192942;e;1794882;e;964512;e;830370;e
2010;;;;;;;;;;;;;;;;;;;
Januar;;;;;;;;;;;;;;;;;;;
WZ08-21;Herstellung von pharmazeutischen Erzeugnissen;218;e;100936;e;12891;e;407178;e;2955861;e;1177990;e;1777871;e;866669;e;911202;e
WZ08-212;  H.v. pharmazeut. Spezialitäten u. sonst. Erzeugn.;195;e;97366;e;12412;e;394173;e;2875141;e;1148050;e;1727090;e;847476;e;879614;e
Februar;;;;;;;;;;;;;;;;;;;
